centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
VMy_1,5390431.968,5963792.728,,,,,,,,,,,,,,,,,-15,,,,
NJ_1,5378171.367,5983425.392,,,,,,,,,,,,-26,,,,,,,,,
NJ_2,5404834.347,6096604.298,,,,,,,,,,,,-31,,,,,,,,,
NJ_3,5425735.236,6086237.247,,,,,,,,,,,,-31,,,,,,,,,
AP_1,5687552.867,5817214.003,,,,,,,,,,,,,,,,,101,,,,
Ay_1,5510999.973,5957970.512,,,,,,,,,,,,19,,,,,,,,,
Ay_2,5520771.637,5972237.26,,,,,,,,,,,,19,,,,,,,,,
Ay_3,5658751.826,5873112.539,,,,,,,,,,,,47,,,,,,,,,
Ay_4,5710248.136,5813815.086,,,,,,,,,,,,56,,,,,,,,,
Ay_5,5607529.94,5912192.646,,,,,,,,,,,,16,,,,,,,,,
Bv_1,5372919.607,5972451.638,,,,,,,,,,,,-42,,,,,,,,,
Bv_2,5537378.494,6064142.182,,,,,,,,,,,,-34,,,,,,,,,
Bv_3,5519483.267,6088197.404,,,,,,,,,,,,-34,,,,,,,,,
Bra_1,5488208.247,6109452.209,,,,,,,,,,,,-48,,,,,,,,,
Cas_1,5666615.006,6011477.819,,,,,,,,,,,,,,,,,-20,,,,
Cas_2,5639608.166,6020056.979,,,,,,,,,,,,,,,,,-20,,,,
Cha_1,5504076.495,6116457.977,,,,,,,,,,,,-39,,,,,,,,,
Che_1,5542360.163,5937113.52,,,,,,,,,,,,,,,,,58,,,,
Che_2,5537669.736,5965965.727,,,,,,,,,,,,,,,,,56,,,,
Che_3,5652705.371,5850809.997,,,,,,,,,,,,,,,,,86,,,,
Che_4,5659753.275,5907752.146,,,,,,,,,,,,,,,,,9,,,,
Che_5,5688082.876,5814603.605,,,,,,,,,,,,,,,,,93,,,,
Che_6,5563985.093,5906226.28,,,,,,,,,,,,,,,,,60,,,,
Che_7,5727550.845,5885939.668,,,,,,,,,,,,,,,,,75,,,,
CC_1,5571697.194,5801365.825,,,,,,,,,,,,36,,,,,,,,,
CC_2,5578928.899,5799382.885,,,,,,,,,,,,35,,,,,,,,,
CC_3,5539455.191,5893882.937,,,,,,,,,,,,15,,,,,,,,,
CM_1,5718557.511,5975962.714,,,,,,,,,,,,-19,,,,,,,,,
Cob_1,5698056.342,5892306.663,,,,,,,,,,,,29,,,,,,,,,
Cru_1,5460974.6,5797312.714,,,,,,,,,,,,59,,,,,,,,,
Cru_2,5511016.205,5808099.398,,,,,,,,,,,,60,,,,,,,,,
Cru_3,5514822.516,5832105.131,,,,,,,,,,,,58,,,,,,,,,
DV_1,5392300.705,6009008.625,,,,,,,,,,,,-23,,,,,,,,,
DV_2,5379297.96,5969262.306,,,,,,,,,,,,-26,,,,,,,,,
ED_1,5720915.165,6025294.57,,,,,,,,,,,,,,,,,-17,,,,
ED_2,5736198.648,6041329.004,,,,,,,,,,,,,,,,,-17,,,,
EV_1,5481259.009,5797564.306,,,,,,,,,,,,48,,,,,,,,,
EV_2,5375896.324,5813099.516,,,,,,,,,,,,21,,,,,,,,,
EV_3,5370323.093,5831068.834,,,,,,,,,,,,15,,,,,,,,,
EV_4,5385921.18,5835801.885,,,,,,,,,,,,17,,,,,,,,,
EV_5,5480573.37,5727403.971,,,,,,,,,,,,53,,,,,,,,,
